NCBI_GENE_ID	mean	lower	upper	stderr
aaeA	3.0455698338160433	2.6007053917207523	3.4904342759113343	0.4448644420952912
aaeB	3.385143881411776	2.261695999794843	4.508591763028709	1.1234478816169327
aaeR	3.2166695516704182	0.893179825492286	5.5401592778485504	2.323489726178132
aas	4.749503947989491	3.7893854206479256	5.709622475331057	0.9601185273415654
aat	2.261403467081737	0.2085297505778292	4.314277183585645	2.0528737165039077
abgA	0.2823329182632458	-0.7042688390833263	1.2689346756098179	0.9866017573465721
abgB	0.7279023092933383	-0.2322960187616565	1.6881006373483332	0.9601983280549948
abgR	-1.4745946869437943	-5.818097876123212	2.868908502235624	4.343503189179418
abgT	0.9833493597546127	-0.6059088091168742	2.5726075286260994	1.5892581688714869
abrB	-3.374465723008611	-5.93235107319185	-0.816580372825372	2.557885350183239
accA	1.9310233167659534	-0.914500973894582	4.7765476074264885	2.8455242906605354
accB	5.801950217849043	3.843439093333022	7.7604613423650655	1.9585111245160216
accC	3.761511021765699	-1.153121134361406	8.676143177892804	4.914632156127105
accD	1.3111848851619414	-1.5217604892463021	4.1441302595701845	2.8329453744082436
aceA	1.3301192643766284	-0.7094717253366567	3.3697102540899135	2.039590989713285
aceB	-0.3922489714033109	-3.989335872625865	3.204837929819243	3.597086901222554
aceE	-7.512880627666234	-12.201261355399676	-2.8244998999327917	4.688380727733442
aceF	-6.214285260711051	-10.616947211086607	-1.811623310335496	4.402661950375555
aceK	1.3510616403114653	-0.434161071581467	3.1362843522043975	1.7852227118929322
ackA	-9.201244655583881	-18.91084348027217	0.5083541691044093	9.70959882468829
acnA	-12.30130703352956	-29.87637296781505	5.273758900755931	17.57506593428549
acnB	-0.6455577149896341	-8.538211689833814	7.247096259854546	7.89265397484418
acpP	-1.435010955795697	-8.650580819253111	5.780558907661717	7.215569863457414
acpS	3.3370998581385307	1.4652253339888845	5.208974382288177	1.8718745241496462
acpT	3.763083660064139	3.092509238100198	4.43365808202808	0.6705744219639409
acrA	6.17090894808996	-1.1407230579866594	13.48254095416658	7.31163200607662
acrB	-5.033625226946734	-10.869589726809416	0.8023392729159484	5.8359644998626825
acrD	2.963591690155808	0.7860783302120975	5.141105050099519	2.1775133599437106
acrE	0.7838760476165048	-0.9892237170269982	2.5569758122600077	1.773099764643503
acrF	2.3395108173882084	-0.1986631492684383	4.877684784044855	2.5381739666566467
acrR	1.9809149341031886	-3.0936163501571246	7.055446218363502	5.074531284260313
acs	-12.942645680704096	-28.329495657556514	2.444204296148321	15.386849976852417
actP	3.1262509023482408	0.15215549552181473	6.100346309174666	2.974095406826426
ada	6.139516586334061	0.756768459159403	11.522264713508719	5.382748127174658
add	5.01048188153698	3.7481712211510123	6.272792541922947	1.2623106603859673
ade	1.653635541779667	-1.003362306484237	4.310633390043571	2.656997848263904
adhE	-2.3036456208674854	-3.0771472691986244	-1.5301439725363466	0.7735016483311388
adhP	2.922349015224601	-0.057674247693856984	5.902372278143059	2.980023262918458
adiA	0.09730250896617637	-2.469680917889503	2.6642859358218556	2.5669834268556793
adiC	1.0941347465794773	-0.04675324724119534	2.23502274040015	1.1408879938206726
adiY	1.4578871253047814	-0.3241583024392367	3.2399325530487992	1.782045427744018
adk	2.0071974770152816	1.3827089800015542	2.631685974029009	0.6244884970137274
aegA	2.268636439805637	-1.7048622942805522	6.2421351738918265	3.9734987340861894
aer	4.352564240720243	3.9978779592345166	4.707250522205969	0.3546862814857264
aes	-1.4162739191405336	-4.42765923793374	1.5951113996526722	3.011385318793206
afuB	1.7616497829232975	-0.012050419133518231	3.5353499849801135	1.7737002020568158
afuC	1.473870958795195	-0.09280273483878765	3.040544652429178	1.5666736936339827
agaA	1.0485760229202425	0.019107970001308816	2.078044075839176	1.0294680529189337
agaB	1.7845804576825286	-0.12859976362426107	3.6977606789893183	1.9131802213067897
agaC	1.0842011729162964	0.2589736269673081	1.9094287188652848	0.8252275459489883
agaD	1.2801208801586552	-0.036760193604280955	2.597001953921591	1.3168810737629362
agaI	1.2063436123348024	-0.13735329841415433	2.550040523083759	1.3436969107489567
agaR	-2.384394105167024	-4.194392541445949	-0.5743956688880989	1.809998436278925
agaS	1.142530691084836	-0.6705294940122579	2.95559087618193	1.813060185097094
agaV	0.9988653597708241	0.2107577431896308	1.7869729763520175	0.7881076165811933
agaW	0.8382914404075476	-0.19101660567871426	1.8675994864938095	1.0293080460862618
agp	-6.357630703188983	-10.231365496494725	-2.4838959098832407	3.873734793305742
ahpC	23.15709578152707	12.131325435857834	34.182866127196306	11.025770345669235
ahpF	21.79908355755633	14.520273462114604	29.077893652998057	7.278810095441726
aidB	1.3275749188552508	0.17998681540711559	2.475163022303386	1.1475881034481352
ais	2.2511837329202686	0.32534907446171935	4.177018391378818	1.9258346584585493
alaS	2.6529685753348167	-0.9970590757616842	6.3029962264313175	3.650027651096501
alaU	-0.0789017341040462	-1.3163963994976418	1.1585929312895495	1.2374946653935956
alaU	4.822638753651376	1.929195895983952	7.716081611318801	2.8934428576674245
alaU	0.9833333333333333	-0.29838281944632816	2.2650494861129946	1.2817161527796614
alaW	4.859569477503323	2.6429849731155737	7.076153981891071	2.216584504387749
alaW	-0.38670131702824434	-1.9885475681717315	1.215144934115243	1.6018462511434872
aldA	-7.513321249740788	-9.693286474336999	-5.333356025144578	2.1799652245962107
aldB	2.3287897645243163	0.7315663449770433	3.9260131840715893	1.597223419547273
alkA	1.7189108773872108	0.590699682062007	2.8471220727124145	1.1282111953252039
alkB	1.7744569159699144	0.3213283982690762	3.2275854336707526	1.4531285177008382
