RAST_GENE_ID	NCBI_GENE_ID
fiG|1005566.5.peG.1148	aes
fiG|1005566.5.peG.1149	gsk
fiG|1005566.5.peG.115	yigM
fiG|1005566.5.peG.1150	ybaL
fiG|1005566.5.peG.1151	fsr
fiG|1005566.5.peG.1152	ushA
fiG|1005566.5.peG.1153	NA
fiG|1005566.5.peG.1154	ybaP
fiG|1005566.5.peG.1155	ybaQ
fiG|1005566.5.peG.1156	copA
fiG|1005566.5.peG.1157	ybaS
fiG|1005566.5.peG.1158	ybaT
fiG|1005566.5.peG.1159	cueR
fiG|1005566.5.peG.116	metE
fiG|1005566.5.peG.1160	ybbJ
fiG|1005566.5.peG.1161	ybbK
fiG|1005566.5.peG.1162	ybbL
fiG|1005566.5.peG.1163	ybbM
fiG|1005566.5.peG.1164	ybbN
fiG|1005566.5.peG.1165	ybbO
fiG|1005566.5.peG.1166	tesA
fiG|1005566.5.peG.1167	ybbA
fiG|1005566.5.peG.1168	ybbP
fiG|1005566.5.peG.1169	rhsD
fiG|1005566.5.peG.117	ysgA
fiG|1005566.5.peG.1170	ybbC
fiG|1005566.5.peG.1171	NA
fiG|1005566.5.peG.1172	ylbG
fiG|1005566.5.peG.1173	ybbB
fiG|1005566.5.peG.1174	ybbS
fiG|1005566.5.peG.1175	allA
fiG|1005566.5.peG.1176	allR
fiG|1005566.5.peG.1177	gcl
fiG|1005566.5.peG.1178	hyi
fiG|1005566.5.peG.1179	glxR
fiG|1005566.5.peG.118	udp
fiG|1005566.5.peG.1180	ybbW
fiG|1005566.5.peG.1181	allB
fiG|1005566.5.peG.1182	ybbY
fiG|1005566.5.peG.1183	glxK
fiG|1005566.5.peG.1184	ylbA
fiG|1005566.5.peG.1185	allC
fiG|1005566.5.peG.1186	allD
fiG|1005566.5.peG.1187	fdrA
fiG|1005566.5.peG.1188	ylbE
fiG|1005566.5.peG.1189	ylbF
fiG|1005566.5.peG.119	rmuC
fiG|1005566.5.peG.1190	ybcF
fiG|1005566.5.peG.1191	purK
fiG|1005566.5.peG.1192	purE
fiG|1005566.5.peG.1193	lpxH
fiG|1005566.5.peG.1194	ppiB
fiG|1005566.5.peG.1195	cysS
fiG|1005566.5.peG.1196	ybcI
fiG|1005566.5.peG.1197	ybcJ
fiG|1005566.5.peG.1198	folD
fiG|1005566.5.peG.1199	sfmA
fiG|1005566.5.peG.12	yieH
fiG|1005566.5.peG.120	ubiE
fiG|1005566.5.peG.1200	dcuC
fiG|1005566.5.peG.1201	sfmC
fiG|1005566.5.peG.1202	NA
fiG|1005566.5.peG.1203	sfmD
fiG|1005566.5.peG.1204	sfmH
fiG|1005566.5.peG.1205	sfmF
fiG|1005566.5.peG.1206	fimZ
fiG|1005566.5.peG.1207	NA
fiG|1005566.5.peG.1208	intD
fiG|1005566.5.peG.1209	ybcC
fiG|1005566.5.peG.121	yigP
fiG|1005566.5.peG.1210	ybcD
fiG|1005566.5.peG.1211	insE
fiG|1005566.5.peG.1212	insF
fiG|1005566.5.peG.1213	emrE
fiG|1005566.5.peG.1214	NA
fiG|1005566.5.peG.1215	ybcK
fiG|1005566.5.peG.1216	ybcL
fiG|1005566.5.peG.1217	ybcM
fiG|1005566.5.peG.1218	ybcN
fiG|1005566.5.peG.1219	ybcO
fiG|1005566.5.peG.122	ubiB
fiG|1005566.5.peG.1220	rusA
fiG|1005566.5.peG.1221	ylcG
